5.0057,5.0058,5.0060,5.0064,5.0070,5.0078,5.0087,5.0099,5.0114,5.0131,5.0152,5.0177,5.0207,5.0241,5.0282,5.0331,5.0388,5.0454,5.0454,20.9154,20.9155,6000
5.0072,5.0073,5.0076,5.0081,5.0088,5.0097,5.0109,5.0124,5.0142,5.0164,5.0190,5.0221,5.0258,5.0301,5.0352,5.0412,5.0483,5.0565,5.0564,20.9294,20.9295,6240
5.0090,5.0092,5.0095,5.0101,5.0110,5.0122,5.0137,5.0155,5.0178,5.0205,5.0237,5.0276,5.0321,5.0375,5.0438,5.0513,5.0600,5.0703,5.0702,20.9411,20.9412,6480
5.0113,5.0115,5.0119,5.0127,5.0138,5.0152,5.0171,5.0194,5.0222,5.0255,5.0296,5.0343,5.0400,5.0467,5.0545,5.0638,5.0746,5.0874,5.0872,20.9508,20.9509,6720
5.0142,5.0144,5.0149,5.0159,5.0172,5.0190,5.0213,5.0242,5.0276,5.0318,5.0368,5.0427,5.0497,5.0580,5.0678,5.0792,5.0927,5.1085,5.1084,20.9589,20.9590,6960
5.0177,5.0179,5.0186,5.0198,5.0215,5.0237,5.0266,5.0301,5.0344,5.0396,5.0458,5.0531,5.0618,5.0721,5.0842,5.0984,5.1152,5.1348,5.1346,20.9657,20.9657,7200
5.0221,5.0224,5.0232,5.0247,5.0268,5.0296,5.0331,5.0375,5.0428,5.0493,5.0569,5.0661,5.0769,5.0896,5.1046,5.1222,5.1430,5.1673,5.1670,20.9713,20.9714,7440
5.0275,5.0279,5.0290,5.0308,5.0334,5.0368,5.0412,5.0466,5.0533,5.0612,5.0708,5.0821,5.0955,5.1113,5.1299,5.1518,5.1775,5.2076,5.2073,20.9760,20.9761,7680
5.0343,5.0347,5.0361,5.0383,5.0415,5.0458,5.0512,5.0580,5.0662,5.0761,5.0879,5.1019,5.1185,5.1381,5.1612,5.1883,5.2202,5.2576,5.2572,20.9799,20.9800,7920
5.0427,5.0432,5.0449,5.0476,5.0516,5.0569,5.0637,5.0720,5.0822,5.0945,5.1091,5.1265,5.1471,5.1714,5.2000,5.2337,5.2732,5.3196,5.3190,20.9832,20.9832,8160
